"type (S)","date (S)","generated (S)"
"day","2016-08-26","12.541"
"day","2016-08-27","11.898"
"day","2016-08-24","13.749"
"day","2016-08-25","14.597"
"day","2016-08-30","14.078"
"day","2016-08-31","13.751"
"day","2016-08-28","14.149"
"day","2016-08-29","14.055"
"day","2016-08-18","15.164"
"day","2016-08-19","15.309"
"day","2016-08-16","15.554"
"day","2016-08-17","15.268"
"day","2016-08-22","15.127"
"day","2016-08-23","15.216"
"day","2016-08-20","15.001"
"day","2016-08-21","14.694"
"year","2016","1007.202"
"day","2016-09-01","13.247"
"day","2016-09-02","13.865"
"day","2016-07-25","11.47"
"day","2016-07-26","16.43"
"day","2016-07-23","16.986"
"day","2016-07-24","16.594"
"day","2016-07-29","16.033"
"day","2016-07-30","14.204"
"day","2016-07-27","16.406"
"day","2016-07-28","16.14"
"day","2016-07-17","17.281"
"day","2016-07-18","17.279"
"day","2016-07-15","17.128"
"day","2016-07-16","17.161"
"day","2016-07-21","16.666"
"day","2016-07-22","16.706"
"day","2016-07-19","17.053"
"day","2016-07-20","16.549"
"day","2016-08-10","16.272"
"day","2016-08-11","15.424"
"day","2016-08-08","12.589"
"day","2016-08-09","16.751"
"day","2016-08-14","15.557"
"day","2016-08-15","15.503"
"day","2016-08-12","15.762"
"day","2016-08-13","15.707"
"day","2016-08-02","15.379"
"day","2016-08-03","16.318"
"day","2016-07-31","15.488"
"day","2016-08-01","15.926"
"day","2016-08-06","15.358"
"day","2016-08-07","15.181"
"day","2016-08-04","16.35"
"day","2016-08-05","14.473"
"month","2016-07","517.389"
"day","2016-07-09","17.578"
"day","2016-07-10","17.623"
"day","2016-07-07","17.295"
"day","2016-07-08","17.937"
"day","2016-07-13","17.666"
"day","2016-07-14","16.754"
"day","2016-07-11","18.347"
"day","2016-07-12","17.956"
"day","2016-07-01","10.973"
"day","2016-07-02","17.831"
"month","2016-08","462.701"
"month","2016-09","27.112"
"day","2016-07-05","18.097"
"day","2016-07-06","17.711"
"day","2016-07-03","18.15"
"day","2016-07-04","17.897"
